BoroCode,Program,RackType,Latitude,Longitude,FEMAFldz,HrcEvac
4,Bike Corral,Bike Corral,40.771895,-73.925499,X,6
1,Bike Racks,Large Hoop,40.739883,-73.985423,X,6
1,Bike Racks,U Rack,40.745261,-73.979207,X,6
1,Bike Racks,U Rack,40.764264,-73.988742,X,0
4,Bike Racks,Large Hoop,40.700152,-73.903304,X,0
3,Bike Racks,U Rack,40.674587,-73.975294,X,0
3,Bike Racks,U Rack,40.677207,-73.982648,X,5
2,Bike Racks,Large Hoop,40.854293,-73.899141,X,0
3,Bike Racks,Large Hoop,40.652746,-73.959765,X,0
1,Bike Racks,Small Hoop,40.850627,-73.937524,X,0
3,Bike Racks,Large Hoop,40.704471,-73.986553,AE,2
3,Bike Racks,U Rack,40.710757,-73.959676,X,0
4,Bike Racks,Large Hoop,40.767128,-73.932729,AE,2
1,Bike Racks,Large Hoop,40.741564,-73.981681,X,0
1,Bike Racks,Large Hoop,40.748144,-74.005448,AE,1
1,Bike Racks,Large Hoop,40.76349,-73.992514,X,0
1,Bike Racks,Large Hoop,40.759278,-73.992182,X,6
2,Bike Racks,Large Hoop,40.828813,-73.903002,X,0
2,Bike Racks,Large Hoop,40.81365,-73.904104,X,0
2,Bike Racks,Large Hoop,40.818355,-73.899434,X,0
2,Bike Racks,Large Hoop,40.818795,-73.866502,X,6
3,Bike Racks,Large Hoop,40.573597,-73.992282,AE,1
4,Bike Racks,Large Hoop,40.744605,-73.930899,X,0
3,Bike Racks,Small Hoop,40.71015454,-73.96327328,X,0
4,Bike Racks,Small Hoop,40.70752015,-73.79702709,X,0
2,Bike Racks,Small Hoop,40.82670212,-73.88841139,X,0
2,Bike Racks,Small Hoop,40.886575,-73.907294,X,0
1,Bike Racks,U Rack,40.761857,-73.990273,X,0
3,Bike Racks,U Rack,40.682542,-73.962692,X,0
1,Bike Corral,Bike Corral,40.7627,-73.993298,X,4
3,Bike Racks,Large Hoop,40.70616,-73.934473,X,4
3,Bike Racks,Large Hoop,40.635748,-73.950586,X,5
1,Bike Racks,Small Hoop,40.809602,-73.9589,X,0
3,Bike Racks,Small Hoop,40.682982,-73.979443,X,5
