,BoroCode,Latitude,Longitude,HrcEvac,Program_Bike Racks,RackType_DOT Sled (Black),RackType_GFI Sled (Silver - Right),RackType_GFI Sled (Silver),RackType_Large Hoop,RackType_Opal Rack (Parks),RackType_Other DOT,RackType_Other Non-DOT,RackType_Small Hoop,RackType_Staple (Parks),RackType_U Rack,RackType_U Rack (DOT),RackType_Undetermined,RackType_Wave Rack,RackType_Wave Rack (Non DOT),RackType_Wave Rack (Non-DOT),RackType_Wave Rack (Parks),FEMAFldz_AE,FEMAFldz_VE,FEMAFldz_X
BoroCode,1.0,-0.47105485900656574,0.3654723932637891,-0.1430072314801404,0.05486669852318235,0.015929044306254712,0.002969478494546128,0.020677220184053324,0.005446314137093868,0.008910460358191884,-0.009967336377140309,-0.007638324825871493,0.19098321835711723,-0.0070478710542967275,-0.15226652557040868,-0.0054482739249136665,-0.016421228901354692,-0.11223953888391025,-0.007047871054296721,-0.009967336377140297,-0.028313114130046134,-0.021464301794767875,-0.0042853561343540415,0.020577944261224102
Latitude,-0.47105485900656574,1.0,0.3057462833955438,-0.08173784150435025,-0.02054809405794697,-0.012614789007027068,-0.0042181561954423435,-0.010820481154384828,0.010753122180003714,-0.0036599419484642554,0.0017248327522292215,-0.005122558584674942,-0.012572750053818634,0.0055016551670245,-0.009766654492579891,0.0030451604279516965,-0.002137160652191461,0.011706855530511703,-0.001748457725346311,-0.0024748048738373564,0.014809568045403834,-0.09638096368263899,0.010417900226725878,0.09651238122119875
Longitude,0.3654723932637891,0.3057462833955438,1.0,-0.12545787051351137,0.04301618356636576,-0.02433509331096958,-0.0030985023969137,-0.03297747787398268,0.00588259553852478,-0.009971140182700048,-0.006344600010138577,-0.010073277156822241,0.2475913604127717,-0.0022615135436228396,-0.22367832105914667,-0.00889745171013598,-0.017841893116072583,-0.09448495673795991,-0.006033178251376597,-0.008542874126925292,-0.01775065095782041,-0.07393080300417557,0.01395848948011065,0.07468143676297334
HrcEvac,-0.1430072314801404,-0.08173784150435025,-0.12545787051351137,1.0,-0.03551012872596758,0.005499914460307982,-0.005309760107811115,-0.013592073901894736,0.014080967218500415,-0.00574017504756068,-0.0036113584889951016,0.0029211242273425035,-0.08893341312009499,-0.0037545140600379837,0.06565734315855938,0.01651765538521432,-0.00028232089081911977,0.01741183436911467,-0.0013526455658077695,-0.0019129568701790954,9.099325888315017e-05,-0.011506586592795437,-0.00234291738869601,0.011276817608638587
Program_Bike Racks,0.05486669852318235,-0.02054809405794697,0.04301618356636576,-0.03551012872596758,1.0,0.0021569811077399954,0.0011528730289705274,0.005286131576685756,0.11480307230806691,0.0034594052260483164,0.0011528730289701258,0.003554251501261592,0.1124931868129215,0.0008151927599028361,0.08177275651146594,0.002704072546713047,0.005410682017423766,0.030695520093781768,0.0008151927599028437,0.001152873028970496,0.0037367439826313897,0.008707088986664308,0.0014119953819350891,-0.008836418317666472
RackType_DOT Sled (Black),0.015929044306254712,-0.012614789007027068,-0.02433509331096958,0.005499914460307982,0.0021569811077399954,1.0,-0.00010628047879473073,-0.0004873152383864539,-0.010583407873548879,-0.00031891390858341926,-0.00010628047879473038,-0.0003276575492865087,-0.010370465311604316,-7.515058003380893e-05,-0.007538425738146102,-0.00024928167954192806,-0.0004987972317571105,-0.0028297431637674853,-7.515058003380871e-05,-0.00010628047879473078,-0.00034448107434867874,0.00944505066672838,-0.00013016831990770377,-0.009404563651609778
RackType_GFI Sled (Silver - Right),0.002969478494546128,-0.0042181561954423435,-0.0030985023969137,-0.005309760107811115,0.0011528730289705274,-0.00010628047879473073,1.0,-0.0002604624551073314,-0.00565666776042982,-0.00017045454985678186,-5.6805271529197356e-05,-0.00017512789052973843,-0.005542853255747875,-4.0166822287677376e-05,-0.004029171921450889,-0.0001332372007937915,-0.0002665994029129272,-0.0015124539388476515,-4.016682228767728e-05,-5.680527152919763e-05,-0.0001841198043795103,-0.0013142356679052742,-6.957295300802939e-05,0.0013181406480264131
RackType_GFI Sled (Silver),0.020677220184053324,-0.010820481154384828,-0.03297747787398268,-0.013592073901894736,0.005286131576685756,-0.0004873152383864539,-0.0002604624551073314,1.0,-0.025936845876192095,-0.0007815649735446103,-0.00026046245510733055,-0.0008029930866838293,-0.025414985765004085,-0.0001841721527821751,-0.018474482780549892,-0.0006109166895284032,-0.0012224065327662158,-0.006934875154087227,-0.00018417215278217458,-0.0002604624551073315,-0.0008442226397583437,-0.006026008492473855,-0.00031900458640047235,0.006043913533363526
RackType_Large Hoop,0.005446314137093868,0.010753122180003714,0.00588259553852478,0.014080967218500415,0.11480307230806691,-0.010583407873548879,-0.00565666776042982,-0.025936845876192095,1.0,-0.016973860538591515,-0.005656667760429809,-0.01743923170585426,-0.551957212218698,-0.003999811330130404,-0.40122485635132416,-0.013267757690987583,-0.02654796301136005,-0.15061013185399866,-0.003999811330130399,-0.005656667760429826,-0.018334646300473996,0.05230424315038601,0.012299282184241752,-0.052450595572669845
RackType_Opal Rack (Parks),0.008910460358191884,-0.0036599419484642554,-0.009971140182700048,-0.00574017504756068,0.0034594052260483164,-0.00031891390858341926,-0.00017045454985678186,-0.0007815649735446103,-0.016973860538591515,1.0,-0.00017045454985678123,-0.0005255030905410001,-0.01663233941492675,-0.00012052785644558132,-0.012090263239274908,-0.0003998024562528472,-0.0007999800017195925,-0.004538393152348166,-0.00012052785644558111,-0.00017045454985678188,-0.0005524849636375121,-0.003943603175338623,-0.000208766300520104,0.003955320778490939
RackType_Other DOT,-0.009967336377140309,0.0017248327522292215,-0.006344600010138577,-0.0036113584889951016,0.0011528730289701258,-0.00010628047879473038,-5.6805271529197356e-05,-0.00026046245510733055,-0.005656667760429809,-0.00017045454985678123,1.0,-0.00017512789052973821,-0.005542853255747865,-4.0166822287677234e-05,-0.004029171921450895,-0.00013323720079379123,-0.0002665994029129276,-0.0015124539388476526,-4.0166822287677275e-05,-5.680527152919741e-05,-0.00018411980437950965,-0.001314235667905276,-6.957295300802908e-05,0.0013181406480262381
RackType_Other Non-DOT,-0.007638324825871493,-0.005122558584674942,-0.010073277156822241,0.0029211242273425035,0.003554251501261592,-0.0003276575492865087,-0.00017512789052973843,-0.0008029930866838293,-0.01743923170585426,-0.0005255030905410001,-0.00017512789052973821,1.0,-0.01708834712102501,-0.00012383236039824593,-0.012421741155178854,-0.0004107638127054891,-0.0008219129984200629,-0.004662821965345897,-0.0001238323603982458,-0.0001751278905297384,-0.0005676324058966648,0.032081507108229754,-0.00021449003182667767,-0.03196875072039361
RackType_Small Hoop,0.19098321835711723,-0.012572750053818634,0.2475913604127717,-0.08893341312009499,0.1124931868129215,-0.010370465311604316,-0.005542853255747875,-0.025414985765004085,-0.551957212218698,-0.01663233941492675,-0.005542853255747865,-0.01708834712102501,1.0,-0.003919333464956041,-0.39315204560377365,-0.013000804895844903,-0.026013806969601486,-0.14757979344929953,-0.003919333464956037,-0.005542853255747877,-0.017965745602114842,-0.04806687528075711,-0.006788677506705212,0.048671378617961523
RackType_Staple (Parks),-0.0070478710542967275,0.0055016551670245,-0.0022615135436228396,-0.0037545140600379837,0.0008151927599028361,-7.515058003380893e-05,-4.0166822287677376e-05,-0.0001841721527821751,-0.003999811330130404,-0.00012052785644558132,-4.0166822287677234e-05,-0.00012383236039824593,-0.003919333464956041,1.0,-0.002849014328753507,-9.421159026836195e-05,-0.00018851156856631448,-0.001069451248882174,-2.8401829077792352e-05,-4.016682228767738e-05,-0.0001301905133637546,-0.0009292917557791274,-4.9194808233001275e-05,0.0009320529544907607
RackType_U Rack,-0.15226652557040868,-0.009766654492579891,-0.22367832105914667,0.06565734315855938,0.08177275651146594,-0.007538425738146102,-0.004029171921450889,-0.018474482780549892,-0.40122485635132416,-0.012090263239274908,-0.004029171921450895,-0.012421741155178854,-0.39315204560377365,-0.002849014328753507,1.0,-0.00945045369697998,-0.018909773680779396,-0.10727766594268678,-0.0028490143287535088,-0.0040291719214508945,-0.013059533490789641,-0.008450446897361706,-0.0049347777275967585,0.00775611469882691
RackType_U Rack (DOT),-0.0054482739249136665,0.0030451604279516965,-0.00889745171013598,0.01651765538521432,0.002704072546713047,-0.00024928167954192806,-0.0001332372007937915,-0.0006109166895284032,-0.013267757690987583,-0.0003998024562528472,-0.00013323720079379123,-0.0004107638127054891,-0.013000804895844903,-9.421159026836195e-05,-0.00945045369697998,1.0,-0.0006253109477552008,-0.0035474723334088343,-9.421159026836175e-05,-0.0001332372007937916,-0.00043185441572297044,-0.0030825498560473046,-0.0001631838957936003,0.003091709016922323
RackType_Undetermined,-0.016421228901354692,-0.002137160652191461,-0.017841893116072583,-0.00028232089081911977,0.005410682017423766,-0.0004987972317571105,-0.0002665994029129272,-0.0012224065327662158,-0.02654796301136005,-0.0007999800017195925,-0.0002665994029129276,-0.0008219129984200629,-0.026013806969601486,-0.00018851156856631448,-0.018909773680779396,-0.0006253109477552008,1.0,-0.00709827285699774,-0.00018851156856631457,-0.00026659940291292743,-0.0008641139913712466,-0.00616799171834476,-0.0003265208884935268,0.006186318633094602
